independent_allstep_matching_v1 order=step_then_sorted_orbit_key fnv64=E274395806684DE3
30 12810608 12809756 12810200
30 12810386 12810830 12809978
30 12813200 12812348 12812792
30 12812978 12813422 12812570
30 12817088 12816236 12816680
30 12816866 12817310 12816458
30 12819680 12818828 12819272
30 12819458 12819902 12819050
30 12823568 12822716 12823160
30 12823346 12823790 12822938
30 12826160 12825308 12825752
30 12825938 12826382 12825530
30 12950576 12949724 12950168
30 12950354 12950798 12949946
30 12953168 12952316 12952760
30 12952946 12953390 12952538
30 12957056 12956204 12956648
30 12956834 12957278 12956426
30 12959648 12958796 12959240
30 12959426 12959870 12959018
30 12963536 12962684 12963128
30 12963314 12963758 12962906
30 12966128 12965276 12965720
30 12965906 12966350 12965498
30 13043888 13043036 13043480
30 13043666 13044110 13043258
30 13046480 13045628 13046072
30 13046258 13046702 13045850
30 13050368 13049516 13049960
30 13050146 13050590 13049738
30 13052960 13052108 13052552
30 13052738 13053182 13052330
30 13056848 13055996 13056440
30 13056626 13057070 13056218
30 13059440 13058588 13059032
30 13059218 13059662 13058810
30 13183856 13183004 13183448
30 13183634 13184078 13183226
30 13186448 13185596 13186040
30 13186226 13186670 13185818
30 13190336 13189484 13189928
30 13190114 13190558 13189706
30 13192928 13192076 13192520
30 13192706 13193150 13192298
30 13196816 13195964 13196408
30 13196594 13197038 13196186
30 13199408 13198556 13199000
30 13199186 13199630 13198778
30 13277168 13276316 13276760
30 13276946 13277390 13276538
30 13279760 13278908 13279352
30 13279538 13279982 13279130
30 13283648 13282796 13283240
30 13283426 13283870 13283018
30 13286240 13285388 13285832
30 13286018 13286462 13285610
30 13290128 13289276 13289720
30 13289906 13290350 13289498
30 13292720 13291868 13292312
30 13292498 13292942 13292090
30 14398208 14397356 14397800
30 14397986 14398430 14397578
30 14404688 14403836 14404280
30 14404466 14404910 14404058
30 14411168 14410316 14410760
30 14410946 14411390 14410538
30 14443568 14442716 14443160
30 14443346 14443790 14442938
30 14446160 14445308 14445752
30 14445938 14446382 14445530
30 14450048 14449196 14449640
30 14449826 14450270 14449418
30 14452640 14451788 14452232
30 14452418 14452862 14452010
30 14456528 14455676 14456120
30 14456306 14456750 14455898
30 14459120 14458268 14458712
30 14458898 14459342 14458490
30 14491520 14490668 14491112
30 14491298 14491742 14490890
30 14498000 14497148 14497592
30 14497778 14498222 14497370
30 14504480 14503628 14504072
30 14504258 14504702 14503850
30 14631488 14630636 14631080
30 14631266 14631710 14630858
30 14637968 14637116 14637560
30 14637746 14638190 14637338
30 14644448 14643596 14644040
30 14644226 14644670 14643818
30 14676848 14675996 14676440
30 14676626 14677070 14676218
30 14679440 14678588 14679032
30 14679218 14679662 14678810
30 14683328 14682476 14682920
30 14683106 14683550 14682698
30 14685920 14685068 14685512
30 14685698 14686142 14685290
30 14689808 14688956 14689400
30 14689586 14690030 14689178
30 14692400 14691548 14691992
30 14692178 14692622 14691770
30 14724800 14723948 14724392
30 14724578 14725022 14724170
30 14731280 14730428 14730872
30 14731058 14731502 14730650
30 14737760 14736908 14737352
30 14737538 14737982 14737130
30 14864768 14863916 14864360
30 14864546 14864990 14864138
30 14871248 14870396 14870840
30 14871026 14871470 14870618
30 14877728 14876876 14877320
30 14877506 14877950 14877098
30 14910128 14909276 14909720
30 14909906 14910350 14909498
30 14912720 14911868 14912312
30 14912498 14912942 14912090
30 14916608 14915756 14916200
