0 1 2 3 4 5
0 1 2 3 4 8
0 1 2 3 5 7
0 1 2 3 7 8
0 1 2 4 5 6
0 1 2 4 6 8
0 1 2 5 6 7
0 1 2 6 7 8
0 1 3 4 5 8
0 1 3 5 7 8
0 1 4 5 6 8
0 1 5 6 7 8
0 2 3 4 5 7
0 2 3 4 7 8
0 2 4 5 6 7
0 2 4 6 7 8
0 3 4 5 7 8
0 3 28 31 56 59
0 3 28 31 56 62
0 3 28 31 59 62
0 3 28 34 56 59
0 3 28 34 56 62
0 3 28 34 59 62
0 3 29 32 55 58
0 3 29 32 55 61
0 3 29 32 58 61
0 3 29 35 55 58
0 3 29 35 55 61
0 3 29 35 58 61
0 3 31 34 56 59
0 3 31 34 56 62
0 3 31 34 59 62
0 3 32 35 55 58
0 3 32 35 55 61
0 3 32 35 58 61
0 4 5 6 7 8
0 6 28 31 56 59
0 6 28 31 56 62
0 6 28 31 59 62
0 6 28 34 56 59
0 6 28 34 56 62
0 6 28 34 59 62
0 6 29 32 55 58
0 6 29 32 55 61
0 6 29 32 58 61
0 6 29 35 55 58
0 6 29 35 55 61
0 6 29 35 58 61
0 6 31 34 56 59
0 6 31 34 56 62
0 6 31 34 59 62
0 6 32 35 55 58
0 6 32 35 55 61
0 6 32 35 58 61
0 9 18 27 36 45
0 9 18 27 36 72
0 9 18 27 45 63
0 9 18 27 63 72
0 9 18 36 45 54
0 9 18 36 54 72
0 9 18 45 54 63
0 9 18 54 63 72
0 9 27 36 45 72
0 9 27 45 63 72
0 9 36 45 54 72
0 9 45 54 63 72
0 10 20 30 40 50
0 10 20 30 40 80
0 10 20 30 50 70
0 10 20 30 70 80
0 10 20 40 50 60
0 10 20 40 60 80
0 10 20 50 60 70
0 10 20 60 70 80
0 10 30 40 50 80
0 10 30 50 70 80
0 10 40 50 60 80
0 10 50 60 70 80
0 11 22 33 44 46
0 11 22 33 44 79
0 11 22 33 46 68
0 11 22 33 68 79
0 11 22 44 46 57
0 11 22 44 57 79
0 11 22 46 57 68
0 11 22 57 68 79
0 11 33 44 46 79
0 11 33 46 68 79
0 11 44 46 57 79
0 11 46 57 68 79
0 12 24 27 39 51
0 12 24 27 39 78
0 12 24 27 51 66
0 12 24 27 66 78
0 12 24 39 51 54
0 12 24 39 54 78
0 12 24 51 54 66
0 12 24 54 66 78
0 12 27 39 51 78
0 12 27 51 66 78
0 12 39 51 54 78
0 12 51 54 66 78
0 13 26 30 43 47
0 13 26 30 43 77
0 13 26 30 47 64
0 13 26 30 64 77
0 13 26 43 47 60
0 13 26 43 60 77
0 13 26 47 60 64
0 13 26 60 64 77
0 13 30 43 47 77
0 13 30 47 64 77
0 13 43 47 60 77
0 13 47 60 64 77
0 14 19 33 38 52
0 14 19 33 38 76
0 14 19 33 52 71
0 14 19 33 71 76
0 14 19 38 52 57
0 14 19 38 57 76
0 14 19 52 57 71
0 14 19 57 71 76
0 14 33 38 52 76
0 14 33 52 71 76
0 14 38 52 57 76
0 14 52 57 71 76
0 15 21 27 42 48
0 15 21 27 42 75
0 15 21 27 48 69
0 15 21 27 69 75
0 15 21 42 48 54
0 15 21 42 54 75
0 15 21 48 54 69
0 15 21 54 69 75
0 15 27 42 48 75
0 15 27 48 69 75
0 15 42 48 54 75
0 15 48 54 69 75
0 16 23 30 37 53
0 16 23 30 37 74
0 16 23 30 53 67
0 16 23 30 67 74
0 16 23 37 53 60
0 16 23 37 60 74
0 16 23 53 60 67
0 16 23 60 67 74
0 16 30 37 53 74
0 16 30 53 67 74
0 16 37 53 60 74
0 16 53 60 67 74
0 17 25 33 41 49
0 17 25 33 41 73
0 17 25 33 49 65
0 17 25 33 65 73
0 17 25 41 49 57
0 17 25 41 57 73
0 17 25 49 57 65
0 17 25 57 65 73
0 17 33 41 49 73
0 17 33 49 65 73
0 17 41 49 57 73
0 17 49 57 65 73
0 18 27 36 45 63
0 18 27 36 63 72
0 18 36 45 54 63
0 18 36 54 63 72
0 19 33 38 52 71
0 19 33 38 71 76
0 19 38 52 57 71
0 19 38 57 71 76
0 20 30 40 50 70
0 20 30 40 70 80
0 20 40 50 60 70
0 20 40 60 70 80
0 21 27 42 48 69
0 21 27 42 69 75
0 21 42 48 54 69
0 21 42 54 69 75
0 22 33 44 46 68
0 22 33 44 68 79
0 22 44 46 57 68
0 22 44 57 68 79
0 23 30 37 53 67
0 23 30 37 67 74
0 23 37 53 60 67
0 23 37 60 67 74
0 24 27 39 51 66
0 24 27 39 66 78
0 24 39 51 54 66
0 24 39 54 66 78
0 25 33 41 49 65
0 25 33 41 65 73
0 25 41 49 57 65
0 25 41 57 65 73
0 26 30 43 47 64
0 26 30 43 64 77
0 26 43 47 60 64
0 26 43 60 64 77
0 27 36 45 63 72
0 27 39 51 66 78
0 27 42 48 69 75
0 30 37 53 67 74
0 30 40 50 70 80
0 30 43 47 64 77
0 33 38 52 71 76
0 33 41 49 65 73
0 33 44 46 68 79
0 36 45 54 63 72
0 37 53 60 67 74
0 38 52 57 71 76
0 39 51 54 66 78
0 40 50 60 70 80
0 41 49 57 65 73
0 42 48 54 69 75
0 43 47 60 64 77
0 44 46 57 68 79
1 2 3 4 5 6
1 2 3 4 6 8
1 2 3 5 6 7
1 2 3 6 7 8
1 3 4 5 6 8
1 3 5 6 7 8
1 4 27 30 56 59
1 4 27 30 56 62
1 4 27 30 59 62
1 4 27 33 56 59
1 4 27 33 56 62
1 4 27 33 59 62
1 4 29 32 54 57
1 4 29 32 54 60
1 4 29 32 57 60
1 4 29 35 54 57
1 4 29 35 54 60
1 4 29 35 57 60
1 4 30 33 56 59
1 4 30 33 56 62
1 4 30 33 59 62
1 4 32 35 54 57
1 4 32 35 54 60
1 4 32 35 57 60
1 7 27 30 56 59
1 7 27 30 56 62
1 7 27 30 59 62
1 7 27 33 56 59
1 7 27 33 56 62
1 7 27 33 59 62
1 7 29 32 54 57
1 7 29 32 54 60
1 7 29 32 57 60
1 7 29 35 54 57
1 7 29 35 54 60
1 7 29 35 57 60
1 7 30 33 56 59
1 7 30 33 56 62
1 7 30 33 59 62
1 7 32 35 54 57
1 7 32 35 54 60
1 7 32 35 57 60
1 9 26 34 42 50
1 9 26 34 42 74
1 9 26 34 50 66
1 9 26 34 66 74
1 9 26 42 50 58
1 9 26 42 58 74
1 9 26 50 58 66
1 9 26 58 66 74
1 9 34 42 50 74
1 9 34 50 66 74
1 9 42 50 58 74
1 9 50 58 66 74
1 10 19 28 37 46
1 10 19 28 37 73
1 10 19 28 46 64
1 10 19 28 64 73
1 10 19 37 46 55
1 10 19 37 55 73
1 10 19 46 55 64
1 10 19 55 64 73
1 10 28 37 46 73
1 10 28 46 64 73
1 10 37 46 55 73
1 10 46 55 64 73
1 11 21 31 41 51
1 11 21 31 41 72
1 11 21 31 51 71
1 11 21 31 71 72
1 11 21 41 51 61
1 11 21 41 61 72
1 11 21 51 61 71
1 11 21 61 71 72
1 11 31 41 51 72
1 11 31 51 71 72
1 11 41 51 61 72
1 11 51 61 71 72
1 12 23 34 36 47
1 12 23 34 36 80
1 12 23 34 47 69
1 12 23 34 69 80
1 12 23 36 47 58
1 12 23 36 58 80
1 12 23 47 58 69
1 12 23 58 69 80
1 12 34 36 47 80
1 12 34 47 69 80
1 12 36 47 58 80
1 12 47 58 69 80
1 13 25 28 40 52
1 13 25 28 40 79
1 13 25 28 52 67
1 13 25 28 67 79
1 13 25 40 52 55
1 13 25 40 55 79
1 13 25 52 55 67
1 13 25 55 67 79
1 13 28 40 52 79
1 13 28 52 67 79
1 13 40 52 55 79
1 13 52 55 67 79
1 14 18 31 44 48
1 14 18 31 44 78
1 14 18 31 48 65
1 14 18 31 65 78
1 14 18 44 48 61
1 14 18 44 61 78
1 14 18 48 61 65
1 14 18 61 65 78
